system:index,AU_ID,devAge2,grass,paved,pm25_na,sqrt_CO2_road,sqrt_CO2_total,sqrt_traffic
000000000000000000aa,13033,-3.039246651,-0.296618131,-1.793693433,-2.90539154,-1.903861955,-2.038306414,-1.145379088
000000000000000000ab,17141,-3.145342584,-1.195374791,-1.8982249,-1.862428282,-1.940707085,-2.159307534,-1.177095143
000000000000000000ac,13032,-3.124097775,0.016839089,-1.842746386,-2.774991357,-1.841465856,-1.965636875,-1.147342995
000000000000000000ad,13031,-3.182050635,-0.986773595,-1.899318561,-2.852051584,-1.905529946,-2.02641384,-1.166013664
000000000000000000ae,17140,-3.17892262,-1.165754348,-1.885622234,-1.954432268,-1.799927321,-2.066489085,-1.169091502
000000000000000000af,17139,-3.182489003,-1.190317316,-1.815525434,-2.256866443,-1.823026008,-2.076488896,-1.162468766
000000000000000000b0,13046,-1.950081023,0.314638945,-1.165483707,-1.294420369,-0.607055303,-0.740290777,-0.581316353
000000000000000000b1,17138,-3.174868414,-1.087841278,-1.83695713,-2.046759436,-1.838103286,-2.090128709,-1.155118958
000000000000000000b2,13045,-3.113559802,0.719681423,-1.832441584,-3.000090673,-1.90124423,-2.104558898,-1.169132904
000000000000000000b3,17137,-3.182706833,-0.878082176,-1.861381196,-2.424263633,-1.903902437,-2.113357514,-1.155600231
000000000000000000b4,13044,-3.152965186,-0.103698196,-1.806953009,-3.224686845,-1.893790208,-2.091866179,-1.157459341
000000000000000000b5,13043,-2.990989412,0.283178486,-1.740448855,-2.872417944,-1.83658187,-2.01162082,-1.140883286
000000000000000000b6,17136,-3.186756534,-1.087250283,-1.878464671,-1.614596933,-1.872483788,-2.095788489,-1.160162489
000000000000000000b7,17135,-3.17127446,-1.084658034,-1.822188886,-1.749305554,-1.880448794,-2.127470123,-1.166338853
000000000000000000b8,13042,-3.158672007,-0.326997539,-1.86625499,-3.703119771,-1.946374778,-2.15980974,-1.155756048
000000000000000000b9,17150,-3.13723865,-0.962415688,-1.864452767,-2.865349963,-1.986108432,-2.201761494,-1.162908853
000000000000000000ba,13041,-3.163812119,0.062590369,-1.840361058,-3.329936547,-1.865901815,-2.084145434,-1.153386428
000000000000000000bb,17149,-3.091323495,-0.741921423,-1.717890166,-2.001018586,-1.954340596,-2.201071769,-1.142538518
000000000000000000bc,13040,-3.090672187,1.272474538,-1.778841519,-3.19609467,-1.649944391,-1.906655452,-1.113640429
000000000000000000bd,17148,-3.171565828,-1.128003155,-1.81995002,-1.649772859,-1.993811502,-2.230542042,-1.150725279
000000000000000000be,13039,-3.118441935,-0.794283548,-1.798393268,-3.311600719,-1.545410547,-1.834871131,-1.10307247
000000000000000000bf,13054,-2.536352004,0.106986646,-1.211521414,-2.126625151,-0.60779161,-0.952915654,-0.598500654
000000000000000000c0,17147,-3.169278203,-1.238209991,-1.86644401,-1.706379447,-1.983163765,-2.22118569,-1.175542399
000000000000000000c1,17146,-3.049485008,-1.221003173,-1.805281083,-1.922417639,-1.997227561,-2.232463601,-1.169716589
000000000000000000c2,13053,-2.783398089,0.982179857,-1.444435978,-2.536194162,-1.084785518,-1.449143213,-0.7892876
000000000000000000c3,17145,-3.127105354,-1.190803835,-1.84858623,-2.17797625,-2.001119241,-2.22638193,-1.172209189
000000000000000000c4,13052,-2.922865598,-0.205325866,-1.628453269,-2.064606358,-1.215735385,-1.405554733,-0.938953518
000000000000000000c5,17144,-3.162735204,-1.391661536,-1.907816936,-2.225295054,-2.04660415,-2.244893527,-1.176428097
000000000000000000c6,13051,-2.863659607,-0.003102896,-1.747318822,-2.001465432,-1.616704213,-1.77899908,-1.090035784
000000000000000000c7,13050,-3.174345261,0.346979684,-1.834787546,-3.252610359,-1.940406264,-2.116042473,-1.16120663
000000000000000000c8,17143,-3.072989881,-1.074064798,-1.881299973,-2.072381502,-1.90774437,-2.127200791,-1.17485973
000000000000000000c9,17158,-2.599328491,-0.165871043,-1.826596716,-2.570661582,-1.889259108,-1.91358084,-1.156423397
000000000000000000ca,13049,-1.25156463,0.121469188,-0.973992414,-0.959446557,0.024059641,-0.228633543,-0.047667005
000000000000000000cb,17157,-2.842436046,-0.576501455,-1.701932055,-3.606494059,-1.996404345,-1.994992455,-1.159488795
000000000000000000cc,13048,-1.443473598,-0.31354191,-1.003796055,-0.921537024,0.155834572,-0.062340715,-0.076482534
000000000000000000cd,17156,-2.941166084,-0.142917151,-1.775949673,-3.153407519,-1.812486042,-2.07372316,-1.118765962
000000000000000000ce,13047,-2.701829291,0.944668912,-1.478176358,-2.235804793,-1.326196387,-1.480917456,-0.995999242
000000000000000000cf,17155,-3.104528462,-0.37600827,-1.84048221,-2.239420601,-1.808807057,-2.088154769,-1.143993102
000000000000000000d0,13062,-2.83905705,0.100377537,-1.7058515,-1.914009049,-1.580804456,-1.754710016,-1.041479021
000000000000000000d1,17154,-3.142148295,-0.583160347,-1.825210687,-2.061728363,-1.936928986,-2.181476268,-1.167459673
000000000000000000d2,13061,-1.316498853,0.090938922,-1.275588679,-1.293943021,-1.083138512,-1.067349924,-0.843831716
000000000000000000d3,17153,-3.18438284,-1.091713861,-1.910716136,-2.623382693,-2.019740529,-2.245662798,-1.177119613
000000000000000000d4,13060,-0.058938609,-0.266225424,0.608951109,-0.793668314,-0.482812699,-0.267151555,-0.381524184
000000000000000000d5,17152,-3.183074202,-1.367119261,-1.901154239,-3.574002759,-2.042531865,-2.245567604,-1.175454426
000000000000000000d6,13059,-0.208758438,0.166538844,-0.628332851,-0.817823989,-0.669474969,-0.52574455,-0.490938277
000000000000000000d7,13058,-1.882403752,-0.209355386,-1.293702524,-1.716100056,-1.120153278,-1.174305607,-0.857684199
000000000000000000d8,17151,-2.998276562,-1.179314343,-1.845635689,-2.244337608,-2.028670438,-2.234946462,-1.165263706
000000000000000000d9,17166,-2.883781976,0.339318945,-1.74428674,-2.608077359,-1.82869157,-2.051588383,-1.093446969
000000000000000000da,13057,-2.666541246,-0.601742874,-1.62417275,-1.86151932,-1.518097808,-1.712198513,-1.041840087
000000000000000000db,17165,-3.045952123,-0.597158502,-1.756710145,-2.627734418,-1.749344469,-1.989817822,-1.119200184
000000000000000000dc,13056,-2.896177358,-0.338089295,-1.638994335,-1.870787945,-1.540640778,-1.727088044,-1.006441296
000000000000000000dd,17164,-3.107458439,-1.078894916,-1.790537107,-2.556022318,-1.763402977,-2.014206078,-1.177119613
000000000000000000de,13055,-2.99185713,-0.874136549,-1.685350494,-2.176298854,-1.555838481,-1.73429307,-1.112402062
000000000000000000df,17163,-2.95213991,-0.658631101,-1.690261968,-2.447217199,-1.751120014,-1.983157317,-1.177119613
0.00E+00,13070,-2.960515828,0.507163816,-1.779166065,-1.839581331,-1.5952019,-1.795360801,-1.063571155
0.00E+00,17162,-2.857128977,-0.636455948,-1.665985512,-2.564072868,-1.866938795,-2.038156279,-1.177119613
0.00E+00,13069,-3.038675651,0.417908215,-1.739847388,-1.769007971,-1.829137506,-1.973364731,-1.092888659
0.00E+00,17161,-2.896457481,-0.728430043,-1.668588563,-2.499843439,-1.711163465,-1.931473606,-1.177119613
0.00E+00,13068,-3.146082683,-0.785575203,-1.799658626,-1.828454884,-1.835467735,-1.973985098,-1.113077412
0.00E+00,17160,-2.902867358,-0.863699835,-1.742479714,-2.669600209,-1.784676402,-1.984393534,-1.093010483
0.00E+00,13067,-3.118135026,-0.365654205,-1.827272618,-1.819751001,-1.853218411,-1.978795346,-1.1302109
0.00E+00,17159,-2.938601496,-0.608938682,-1.825738886,-2.740250175,-1.857502871,-1.962253606,-1.160644705
0.00E+00,13066,-3.038394498,-0.331356215,-1.745768244,-1.634677436,-1.873720325,-2.009422425,-1.141812865
0.00E+00,13065,-3.017782564,-0.461925056,-1.737774126,-1.867217459,-1.722656487,-1.851757357,-1.11633113
000000000000000000ea,13064,-2.698430841,-0.408507017,-1.595946752,-1.790698267,-1.66399002,-1.813569978,-1.110465517
000000000000000000eb,13063,-3.070868848,0.044371335,-1.800991738,-1.977752899,-1.665253231,-1.835087656,-1.09180484
000000000000000000ec,13078,-3.01748044,-0.35015214,-1.369667017,-1.751479401,-1.423293632,-1.641245857,-1.042630718
