system:index,Watershed Name,devAge2,grass,paved,pm25_na,sqrt_CO2_road,sqrt_traffic,.geo
0000000000000000007f,23954057,-3.154301532,2.923477332,-1.718156624,-2.674399955,-1.81766388,-1.108018916,"{""type"":""MultiPoint"",""coordinates"":[]}"
80,23997870,-3.186779261,-1.469545126,-1.911595583,-4.17031105,-1.999401617,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
81,24537948,-3.186229787,-1.391688358,-1.80083072,-3.471155929,-2.014406089,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
82,24285868,-2.850035361,0.787889553,-1.897629942,-2.173923817,-1.887461778,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
83,24001113,-3.186779261,-0.97870433,-1.911595583,-3.460971938,-2.023524469,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
84,24265965,-3.176172444,-1.423699118,-1.911595583,-5.72450838,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
85,23988234,-3.161717813,1.797811534,-1.911595583,-3.504345199,-1.95573704,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
86,23083408,-3.186779261,-1.469545126,-1.911595583,-6.021248485,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
87,23990343,-2.865694048,-0.357268187,-1.707570576,-0.807945354,-1.453380123,-1.083550466,"{""type"":""MultiPoint"",""coordinates"":[]}"
88,23839682,-3.186779261,-1.469545126,-1.911595583,-6.226009857,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
89,23989665,-2.64846606,2.521742921,-1.905334627,-2.107021099,-1.836988916,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008a,23964819,-3.186779261,-1.454395606,-1.911595583,-5.391721878,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008b,24257619,-3.186779261,-1.42666262,-1.911595583,-5.298754902,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008c,23964147,-3.186779261,-1.469545126,-1.911595583,-5.276774424,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008d,23956376,-3.171385745,-1.019000689,-1.859555809,-2.187421469,-1.874559721,-1.133321198,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008e,23963969,-3.186441033,-1.465266356,-1.911595583,-5.179034928,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
0000000000000000008f,24254973,-3.186717515,-1.44256015,-1.911595583,-5.552069289,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
90,23964057,-3.186779261,-0.958170485,-1.911595583,-4.555542555,-2.08726263,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
91,23990353,-2.918230239,-0.173458385,-1.706820372,0.634517373,-1.487130204,-1.039377177,"{""type"":""MultiPoint"",""coordinates"":[]}"
92,23982615,-3.186779261,-1.467391388,-1.879990794,-6.165864756,-1.642319756,-1.12575668,"{""type"":""MultiPoint"",""coordinates"":[]}"
93,23990615,-3.135290194,-0.795363626,-1.843779452,-3.446916932,-1.964551949,-1.17034899,"{""type"":""MultiPoint"",""coordinates"":[]}"
94,23953931,-3.174851281,-0.957335969,-1.877299865,-2.909340534,-1.992100052,-1.170112446,"{""type"":""MultiPoint"",""coordinates"":[]}"
95,24279404,-1.572147945,0.384547749,-0.759296198,-1.77029106,-0.64023127,-0.737788299,"{""type"":""MultiPoint"",""coordinates"":[]}"
96,24538256,-0.41180148,-0.273788008,-0.619965914,0.008832285,0.710787566,0.29009687,"{""type"":""MultiPoint"",""coordinates"":[]}"
97,23978304,-3.186779261,-1.408717885,-1.903215463,-3.489587112,-2.058790203,-1.177119613,"{""type"":""MultiPoint"",""coordinates"":[]}"
